Ref,x,y,Connectivity,Isovist Area,Isovist Compactness,Isovist Drift Angle,Isovist Drift Magnitude,Isovist Max Radial,Isovist Min Radial,Isovist Occlusivity,Isovist Perimeter,Point First Moment,Point Second Moment
852071,361357.8,10200,957,557.04974,0.027071085,26.075657,9.1339931,44.421158,4.3302784,409.61578,508.50952,11789.938,201966.12
852072,361357.8,10200.6,975,572.37195,0.023241814,19.632824,9.4704094,51.266029,4.3520865,453.37592,556.30005,11967.968,207211.31
852073,361357.8,10201.2,1049,612.03052,0.027860938,12.791124,11.142294,63.363968,4.3738942,421.21957,525.4043,14391.412,305512.91
852074,361357.8,10201.8,1052,634.76978,0.019892108,7.5440931,11.980952,63.428104,4.3957024,529.61261,633.24628,14343.294,303006.59
852075,361357.8,10202.4,1025,667.1582,0.020028707,2.8637006,13.54718,63.686298,4.41751,541.35315,646.98303,13379.75,276582.25
852076,361357.8,10203,989,639.64429,0.023794074,359.73999,12.205398,63.766808,4.4393182,468.45648,581.21899,12064.483,230435.28
852077,361357.8,10203.6,1014,590.94818,0.024667775,357.56973,9.5565643,55.538059,4.4611259,441.05573,548.67432,12863.203,259758.72
852078,361357.8,10204.2,1030,604.90521,0.022078693,0.56339169,10.065033,55.657665,4.482934,474.22961,586.7619,12991.959,256536.36
852079,361357.8,10204.8,1066,612.59259,0.021874353,359.07437,10.373028,62.589401,4.2932897,484.73651,593.2301,14117.175,303532.91
852080,361357.8,10205.4,1070,599.51489,0.020645875,352.4346,10.178521,64.048645,3.6939857,491.78708,604.07141,13897.174,284252.41
852081,361357.8,10206,994,583.84589,0.021962706,349.41733,9.3989944,51.691872,3.0949519,463.77695,577.97778,11449.427,196608.23
852082,361357.8,10206.6,1013,591.81482,0.018894464,346.93179,9.9956522,64.004662,2.4963818,516.31293,627.37982,12465.794,236268.72
852083,361357.8,10207.2,1013,614.18433,0.015751032,343.46042,12.100015,64.242668,1.8987149,589.22351,700.00281,13375.392,298178.28
852084,361357.8,10207.8,968,622.62689,0.021443574,338.80209,13.140004,64.318413,1.3031939,490.13116,604.04639,12415.998,277416.72
852085,361357.8,10208.4,915,594.8313,0.020414362,333.18481,12.613194,48.640285,0.71519953,494.53146,605.10944,10789.021,198533.88
852086,361357.8,10209,917,610.21185,0.015121551,333.04315,15.377096,61.976219,0.2114388,605.4295,712.10999,13245.61,320090.03
852087,361357.8,10209.6,950,606.66974,0.016262079,328.57874,15.707842,66.431435,0.20392874,585.17938,684.6886,13458.579,334116.72
852088,361357.8,10210.2,842,552.98987,0.016985908,323.6955,16.23247,66.847168,0.17562678,555.90686,639.61572,11927.827,302434.91
852089,361357.8,10210.8,768,525.68182,0.015138352,325.63425,18.204813,67.071365,0.18787633,586.65082,660.58258,11026.53,259461
852090,361357.8,10211.4,723,487.62909,0.019702468,322.22226,17.727343,54.154095,0.20412293,487.94809,557.68561,9631.9199,198945.36
852091,361357.8,10212,706,495.77652,0.014651248,320.54141,19.169943,67.520012,0.22036953,582.15912,652.0946,9889.8789,230113.44
852092,361357.8,10212.6,678,470.96436,0.014338272,318.49164,19.280413,67.934723,0.23661613,574.77484,642.46661,9363.1641,211853.16
852093,361357.8,10213.2,629,417.78085,0.016388338,314.34302,18.06056,54.039204,0.25286272,499.92517,565.9939,8016.8901,157951.8
852094,361357.8,10213.8,620,405.8382,0.015513407,312.59555,18.382992,53.199425,0.26910934,508.65369,573.36053,8003.3335,157434.48
852095,361357.8,10214.4,635,406.1369,0.015418217,310.92474,19.635584,55.000725,0.28535593,512.2851,575.33936,8950.1729,200460.95
852096,361357.8,10215,622,380.27396,0.019056359,307.91245,18.954819,55.515373,0.30160251,438.42639,500.76419,8710.9805,186854.05
852097,361357.8,10215.6,633,385.37708,0.019028369,304.70639,17.275406,54.367832,0.4400534,433.65634,504.48364,8317.5596,160264.08
852098,361357.8,10216.2,672,397.89343,0.01960291,303.80722,18.275885,56.218132,0.34507126,434.23184,505.04263,9449.1914,205716.59
